Ticker,Shares
DG,230.49661143902662
FTS.TO,575.4547297610725
CME,4729.009478642319
DUK,883.8446997954688
AEP,300.30206808838483
EXC,518.9324946135035
ENB.TO,143.22493436633917
WN.TO,44.68858507761892
BNS.TO,387.10789495964724
UL,229.95667422823897
BB.TO,592.5027141056692
BTI,613.8127709272378
LMT,391.6983606451735
KO,99.90397889142251
T.TO,2969.551499780273
SLF.TO,561.6380063100647
BCE.TO,84.25989929250875
COST,176.23274826316288
ATD.TO,191.95632286068405
TRP.TO,482.9734320500829
GOOG,1498.3493142751613
WCN.TO,528.3299429229505
RY.TO,673.5117007252903
NA.TO,166.20210163012098
KITS.TO,426.6651679466248
